Date,Open,High,Low,Close*,Adj. close**,Volume
22-Sep-21,74.61,80.74,74.51,79.09,79.09,"116,309"
15-Sep-21,73.84,76.13,73.25,74.36,74.36,"142,722"
8-Sep-21,71.58,74.27,70.89,73.6,73.6,"147,631"
1-Sep-21,71.7,73.7,70.41,71.69,71.69,"124,913"
25-Aug-21,71.13,73.7,70.51,72.99,72.99,"102,258"
18-Aug-21,69.01,71.3,64.8,71.05,71.05,"165,451"
11-Aug-21,70.91,71.89,68.14,69.03,69.03,"146,740"
4-Aug-21,72.33,72.82,67.61,70.63,70.63,"186,085"
28-Jul-21,74.66,76.39,71.04,72.41,72.41,"137,504"
21-Jul-21,68.74,75.05,68.64,74.48,74.48,"159,146"
14-Jul-21,76.4,76.71,67.42,69.35,69.35,"226,782"
7-Jul-21,74.96,76.61,72.1,76.49,76.49,"189,973"
30-Jun-21,75.14,77.83,74.12,74.53,74.53,"175,652"
23-Jun-21,74.76,76.59,73.91,74.76,74.76,"122,764"
16-Jun-21,74.3,75.29,72,74.81,74.81,"188,911"
9-Jun-21,72.14,74.33,70.95,73.99,73.99,"162,638"
2-Jun-21,70.56,72.41,70.37,72.22,72.22,"122,147"
26-May-21,68.63,69.83,68.03,69.63,69.63,"68,429"
19-May-21,68.58,68.89,64.56,68.65,68.65,"161,661"
12-May-21,68.72,70.24,66.47,68.71,68.71,"171,270"
5-May-21,69.5,70.26,67.13,68.55,68.55,"158,675"
28-Apr-21,66.66,68.95,66.16,67.29,67.29,"63,460"
21-Apr-21,66.36,66.8,64.57,66.42,66.42,"142,737"
14-Apr-21,64.01,68.08,63.89,66.57,66.57,"143,399"
7-Apr-21,62.68,64.31,61.6,63.67,63.67,"166,904"
31-Mar-21,64.48,64.86,61.24,62.74,62.74,"215,291"
24-Mar-21,60.35,65.65,60.34,64.14,64.14,"110,635"
17-Mar-21,68.39,68.88,60.26,60.79,60.79,"226,380"
10-Mar-21,67.33,70.02,66.52,68.39,68.39,"152,615"
3-Mar-21,62.47,71.36,62.34,67.52,67.52,"212,445"
24-Feb-21,65.23,67.7,62.37,62.7,62.7,"110,802"
17-Feb-21,63.55,66.79,62.11,65.37,65.37,"211,718"
10-Feb-21,61.23,63.81,60.34,63.35,63.35,"156,938"
3-Feb-21,57.79,61.27,57.53,61.09,61.09,"134,716"
27-Jan-21,56.08,58.05,55.2,57.46,57.46,"96,427"
20-Jan-21,55.9,56.62,54.49,55.91,55.91,"133,215"
13-Jan-21,56.73,57.42,54.5,55.9,55.9,"133,913"
6-Jan-21,53.59,56.78,53.15,56.58,56.58,"178,656"
30-Dec-20,51.05,53.88,50.58,53.6,53.6,"131,349"
23-Dec-20,49.8,52.02,49.18,51.09,51.09,"46,037"
16-Dec-20,50.72,52.47,49.21,50.08,50.08,"131,580"
9-Dec-20,48.83,51.07,48.38,50.76,50.76,"145,528"
2-Dec-20,47.14,49.86,46.77,48.84,48.84,"154,696"
25-Nov-20,47.86,49.07,46.85,47.61,47.61,"69,862"
18-Nov-20,43.78,48.03,43.49,47.86,47.86,"146,063"
11-Nov-20,43.96,45.31,42.63,43.75,43.75,"179,990"
4-Nov-20,40.15,44.07,39.33,43.61,43.61,"200,497"
28-Oct-20,40.71,40.71,36.68,39.71,39.71,"116,329"
21-Oct-20,42.82,43.04,40.22,41.2,41.2,"143,661"
14-Oct-20,42.42,43.6,41.56,43.16,43.16,"151,082"
7-Oct-20,41.94,43.56,41.35,42.45,42.45,"136,844"
30-Sep-20,40.75,42.84,38.79,42.65,42.65,"142,284"
23-Sep-20,41.74,42.64,40.44,41.03,41.03,"83,068"
16-Sep-20,40.75,43.81,40.58,41.72,41.72,"126,816"
9-Sep-20,39.8,41.2,39.28,40.53,40.53,"126,484"
2-Sep-20,45.85,46.04,39.3,39.78,39.78,"146,413"
26-Aug-20,45.98,46.09,44.56,45.1,45.1,"47,967"
19-Aug-20,45.04,46.04,43.6,45.86,45.86,"112,441"
12-Aug-20,44.58,45.62,44.48,45.46,45.46,"85,057"
5-Aug-20,44.4,46.24,44.25,44.5,44.5,"106,289"
29-Jul-20,43.3,44.82,41.38,44.43,44.43,"73,991"
22-Jul-20,43.9,44.77,42.38,43.22,43.22,"107,688"
15-Jul-20,43.15,44.88,42.37,44.32,44.32,"108,040"
8-Jul-20,42.96,43.5,41.32,42.9,42.9,"111,138"
1-Jul-20,41.13,43.71,41.13,43.08,43.08,"96,352"
24-Jun-20,42.33,42.89,39.47,41.15,41.15,"85,019"
17-Jun-20,40.71,43.93,40.03,42.63,42.63,"145,668"
10-Jun-20,40.87,41.99,37,40.96,40.96,"155,860"
3-Jun-20,39.52,43.43,38.75,41.18,41.18,"140,563"
27-May-20,36.1,39.79,33.39,39.57,39.57,"80,514"
20-May-20,34.43,36.98,33.55,36.17,36.17,"116,314"
13-May-20,29.47,35.86,28.87,34.65,34.65,"134,256"
6-May-20,31.88,32.49,28.67,29.98,29.98,"153,941"
29-Apr-20,20.75,31.69,20.35,30.97,30.97,"113,529"
