Date,Headline,Link,Rating
30/7/21,Argus: Saudi Arabia to lift ban on vaccinated tourists,https://www.argusmedia.com/en/news/2239421-saudi-arabia-to-lift-ban-on-vaccinated-tourists,7
19/7/21,Argus: Covid-19 restrictions ease in England,https://www.argusmedia.com/en/news/2235435-covid19-restrictions-ease-in-england,6
19/7/21,OilPrice.com: Saudi Arabia Boosted Crude Oil Exports To 4-Month High In May,https://oilprice.com/Latest-Energy-News/World-News/Saudi-Arabia-Boosted-Crude-Oil-Exports-To-4-Month-High-In-May.html,7
19/7/21,Mubasher: Saudi Arabia's crude oil exports hit four-month high in May,https://english.mubasher.info/news/3832473/Saudi-Arabia-s-crude-oil-exports-hit-four-month-high-in-May,7
19/7/21,Reuters: Saudi Arabian crude oil exports hit four-month high in May,https://www.reuters.com/business/energy/saudi-arabian-crude-oil-exports-hit-four-month-high-may-2021-07-19/,8
14/7/21,Argus: Bahrain bans air passenger arrivals from 16 countries,https://www.argusmedia.com/en/news/2234001-bahrain-bans-air-passenger-arrivals-from-16-countries,2
11/7/21,Argus: Saudi caps gasoline prices as domestic demand struggles,https://www.argusmedia.com/en/news/2233166-saudi-caps-gasoline-prices-as-domestic-demand-struggles,6
9/7/21,"Argus: Opec+ adds 610,000 b/d as Riyadh unwinds cut",https://www.argusmedia.com/en/news/2232821-opec-adds-610000-bd-as-riyadh-unwinds-cut,7
4/7/21,"Argus: Saudi suspends flights to UAE, Ethiopia and Vietnam",https://www.argusmedia.com/en/news/2231041-saudi-suspends-flights-to-uae-ethiopia-and-vietnam,2
17/6/21,S&amp;P Global Platts: SAUDI DATA: April crude exports fall to lowest since June 2020: JODI,https://www.spglobal.com/platts/en/market-insights/latest-news/oil/061721-saudi-data-april-crude-exports-fall-to-lowest-since-june-2020-jodi,3
13/6/21,Argus: Saudi Arabia to hold downsized Hajj pilgrimage again,https://www.argusmedia.com/en/news/2224370-saudi-arabia-to-hold-downsized-hajj-pilgrimage-again,4
11/6/21,Argus: Aramco gives full term crude to Asian buyers,https://www.argusmedia.com/en/news/2223989-aramco-gives-full-term-crude-to-asian-buyers-update,7
30/5/21,Argus: Saudi Arabia lifts entry ban from 11 countries,https://www.argusmedia.com/en/news/2220010-saudi-arabia-lifts-entry-ban-from-11-countries,6
11/5/21,"S&amp;P Global Platts: Saudi Arabia may turn to gas, import more fuel oil for power as OPEC+ cuts ease",https://www.spglobal.com/platts/en/market-insights/latest-news/oil/051121-saudi-arabia-may-turn-to-gas-import-more-fuel-oil-for-power-as-opec-cuts-ease,6
9/5/21,Bloomberg: Refined Oil Outsourcing Is Going to a Whole New Level,https://www.bloombergquint.com/gadfly/refined-oil-outsourcing-is-going-to-a-whole-new-level,6
20/4/21,Business Post: Oil Market Reacts to Looming Libyan Supply Disruption,https://businesspost.ng/economy/oil-market-reacts-to-looming-libyan-supply-disruption/,5
20/4/21,Arabian Business: IEF reveals global oil demand shortfall in March amid 'stagnant' last-mile recovery,https://www.arabianbusiness.com/energy/462288-ief-reveals-global-oil-demand-shortfall-in-march-amid-stagnant-last-mile-recovery,4
20/4/21,Reuters: Mideast Stocks Ex-dividend stocks hit Dubai as Gulf markets mixed,https://www.reuters.com/world/middle-east/mideast-stocks-ex-dividend-stocks-hit-dubai-gulf-markets-mixed-2021-04-20/,4
20/4/21,"Reuters: Oil hits $68 on Libya force majeure, although pandemic surge weighs",https://www.reuters.com/world/middle-east/oil-prices-rise-weaker-dollar-likely-drawdown-us-stocks-2021-04-20/,6
19/4/21,"S&amp;P Global Platts: Saudi crude stock draws continue, exports fall due to production cut",https://www.spglobal.com/platts/en/market-insights/latest-news/oil/041921-saudi-crude-stock-draws-continue-exports-fall-due-to-production-cut,4
19/4/21,Reuters: Saudi crude exports drop to eight-month low in February,https://www.reuters.com/article/saudi-crude-jodi-idAFL8N2MC3M3,4
16/4/21,Argus: Refiner Essar Oil UK in talks with finance providers,https://www.argusmedia.com/en/news/2206239-refiner-essar-oil-uk-in-talks-with-finance-providers,5
15/4/21,S&amp;P Global Platts: Fuel oil premium hits record high in Fujairah ahead of big A/C power demand season,https://www.spglobal.com/platts/en/market-insights/latest-news/oil/041521-fuel-oil-premium-hits-record-high-in-fujairah-ahead-of-big-ac-power-demand-season,7
7/4/21,Emirates News Agency: Oil product inventories at UAE's Port of Fujairah climb to five-week high,http://wam.ae/en/details/1395302925088,4
20/3/21,RT: Saudi Arabia boosted crude oil exports in January,https://www.rt.com/business/518603-saudi-arabia-boosted-crude-oil/,7
10/3/21,"Reuters: Despite pledged cut, Saudi Feb oil exports post only small drop -trackers",https://www.reuters.com/article/oil-saudi-idUSL8N2L82XT,5
